gender,race ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group C,some college,standard,completed,87,94,92
male,group C,bachelors degree,standard,none,68,64,66
female,group A,some high school,free reduced,completed,47,60,62
male,group C,some high school,free reduced,none,69,72,68
female,group C,some high school,standard,none,74,84,86
male,group E,high school,standard,completed,84,78,73
female,group A,associates degree,standard,none,83,98,96
female,group B,high school,standard,completed,71,86,87
male,group D,some college,free reduced,completed,60,62,59
female,group E,some high school,standard,none,67,57,60
female,group A,high school,standard,none,79,83,82
female,group C,bachelors degree,standard,none,72,78,82
female,group C,associates degree,standard,completed,70,81,82
male,group E,some college,standard,none,59,40,41
male,group C,associates degree,free reduced,none,72,70,70
male,group A,some college,free reduced,none,65,56,49
female,group C,some high school,standard,none,25,51,41
male,group C,some high school,free reduced,none,58,56,50
male,group D,associates degree,free reduced,none,45,44,39
male,group D,high school,standard,none,93,92,86
male,group B,associates degree,standard,none,80,71,70
male,group A,some high school,standard,completed,67,66,63
female,group A,some college,standard,none,46,60,59
female,group C,high school,free reduced,none,43,60,52
female,group B,some high school,free reduced,completed,64,63,68
male,group E,high school,free reduced,completed,43,43,37
male,group D,high school,standard,none,69,55,55
male,group B,high school,free reduced,completed,51,57,52
male,group C,some college,standard,completed,96,94,91
female,group D,bachelors degree,standard,none,70,82,77
male,group B,bachelors degree,standard,none,79,76,73
male,group C,some college,standard,none,74,79,75
male,group A,some college,free reduced,completed,66,66,69
female,group C,some high school,standard,completed,63,69,66
male,group C,high school,standard,none,77,81,83
male,group B,high school,free reduced,none,53,61,56
male,group C,high school,standard,completed,92,87,80
male,group D,associates degree,standard,none,100,94,96
female,group D,high school,standard,none,60,75,77
female,group B,masters degree,standard,none,59,72,70
male,group C,high school,standard,none,71,69,65
male,group C,high school,free reduced,none,69,58,57
female,group A,high school,standard,completed,76,96,100
female,group D,some college,standard,completed,79,84,87
female,group D,associates degree,standard,completed,43,59,63
female,group C,some college,standard,none,70,79,79
male,group B,associates degree,free reduced,none,41,43,37
male,group C,associates degree,standard,none,72,65,70
female,group C,bachelors degree,free reduced,none,55,64,64
female,group E,associates degree,standard,none,88,93,95
male,group D,some college,free reduced,none,32,35,33
female,group E,some college,standard,none,68,78,80
female,group C,some high school,standard,none,87,90,87
male,group B,associates degree,standard,none,91,68,73
male,group D,associates degree,standard,none,93,86,83
male,group B,some high school,standard,none,63,64,58
male,group D,associates degree,standard,completed,83,69,74
female,group C,some college,free reduced,completed,58,84,83
female,group E,some college,standard,completed,93,86,95
female,group D,associates degree,standard,none,73,87,78
female,group C,some high school,standard,none,49,56,48
male,group A,bachelors degree,standard,none,71,65,61
male,group C,associates degree,standard,none,72,67,61
male,group C,high school,standard,completed,80,70,65
female,group D,bachelors degree,free reduced,none,51,57,58
female,group B,some high school,standard,none,59,62,57
female,group B,bachelors degree,standard,none,50,55,61
female,group C,some college,free reduced,none,76,80,73
female,group C,some college,free reduced,completed,50,69,70
male,group A,some high school,free reduced,none,33,29,22
male,group A,some college,standard,none,66,64,61
male,group A,masters degree,free reduced,none,84,73,78
female,group E,associates degree,standard,none,85,89,89
female,group B,some college,standard,completed,64,66,75
male,group B,bachelors degree,standard,none,69,65,65
male,group B,some high school,standard,none,92,74,72
female,group D,some high school,standard,none,58,72,70
male,group C,associates degree,standard,completed,80,72,70
female,group D,associates degree,standard,completed,86,89,99
female,group D,high school,free reduced,none,60,66,65
female,group A,associates degree,standard,completed,69,68,72
male,group B,high school,free reduced,completed,51,40,40
female,group E,some college,standard,completed,88,80,83
male,group D,high school,standard,none,71,67,68
female,group B,some college,standard,none,80,91,84
male,group C,associates degree,standard,none,60,55,56
female,group D,high school,standard,completed,69,83,86
female,group D,some college,standard,none,52,59,62
male,group D,some college,free reduced,none,64,63,66
female,group C,some high school,standard,completed,74,89,87
male,group D,associates degree,free reduced,none,47,37,42
female,group D,bachelors degree,standard,none,86,87,84
female,group B,associates degree,standard,none,84,91,92
male,group E,some high school,free reduced,completed,74,71,71
female,group C,some college,standard,none,55,65,62
male,group A,associates degree,standard,none,98,86,85
female,group C,some high school,standard,none,55,57,61
female,group D,some college,standard,none,67,84,90
male,group C,high school,standard,none,89,84,79
male,group D,masters degree,standard,none,61,59,54
male,group C,high school,standard,none,92,90,83
male,group A,masters degree,standard,none,85,82,73
male,group A,some college,standard,none,63,58,52
female,group B,high school,free reduced,none,48,53,56
male,group E,some high school,free reduced,none,60,58,52
female,group D,high school,standard,none,59,73,67
female,group B,some college,free reduced,none,52,61,62
male,group E,some high school,standard,completed,78,73,75
male,group D,some college,standard,none,69,65,63
male,group B,high school,free reduced,completed,53,54,52
female,group D,some college,standard,none,80,86,82
female,group D,masters degree,standard,completed,76,82,92
male,group A,associates degree,free reduced,none,44,52,46
male,group A,bachelors degree,standard,completed,78,85,83
male,group D,bachelors degree,standard,none,92,88,89
female,group B,some college,standard,none,82,92,87
male,group C,associates degree,standard,none,95,90,85
male,group B,some high school,standard,none,85,72,68
female,group C,high school,standard,completed,78,87,88
male,group B,associates degree,standard,completed,60,58,50
female,group E,some college,standard,none,90,93,90
male,group D,high school,free reduced,none,64,57,55
male,group E,some high school,free reduced,none,79,73,65
female,group E,some college,standard,none,74,64,62
female,group D,some high school,standard,none,76,91,87
female,group C,bachelors degree,standard,completed,72,88,87
male,group C,some high school,standard,completed,53,52,53
male,group D,high school,standard,completed,59,56,54
male,group D,bachelors degree,free reduced,completed,84,80,87
male,group B,some college,free reduced,none,47,44,47
male,group C,masters degree,standard,none,79,78,75
female,group A,associates degree,standard,none,71,71,75
female,group E,some college,standard,completed,78,83,82
female,group C,high school,free reduced,none,65,84,74
male,group D,bachelors degree,standard,completed,100,97,100
female,group B,some high school,standard,none,76,81,82
female,group C,high school,free reduced,none,42,55,49
male,group C,some high school,free reduced,none,43,43,36
female,group B,bachelors degree,standard,completed,56,65,66
male,group C,masters degree,standard,completed,100,100,97
male,group B,some college,standard,none,82,81,83
female,group B,some high school,standard,none,65,86,79
female,group D,some college,standard,none,76,90,81
female,group E,some college,standard,none,88,88,87
female,group B,some high school,standard,completed,45,60,55
male,group D,some high school,free reduced,none,50,51,49
male,group C,some college,standard,none,83,80,72
male,group C,high school,standard,none,87,79,71
male,group C,some college,standard,none,74,70,65
female,group A,masters degree,standard,none,94,91,94
male,group D,high school,standard,completed,80,75,80
female,group C,associates degree,free reduced,completed,54,65,65
female,group C,high school,standard,completed,68,83,75
male,group B,associates degree,standard,completed,74,72,73
male,group B,masters degree,free reduced,none,83,83,84
male,group E,high school,standard,none,62,55,53
female,group C,high school,standard,none,78,81,77
female,group C,some college,free reduced,none,54,64,61
male,group C,some high school,free reduced,completed,67,71,65
male,group C,masters degree,standard,completed,87,80,83
female,group A,some high school,free reduced,completed,49,65,70
female,group C,some college,free reduced,completed,72,89,86
male,group C,some college,standard,completed,87,71,75
male,group B,high school,free reduced,completed,54,52,54
male,group B,bachelors degree,standard,completed,56,58,57
male,group E,some college,standard,none,85,79,73
female,group C,high school,standard,none,54,70,65
male,group A,bachelors degree,free reduced,none,67,66,59
female,group B,bachelors degree,standard,none,88,86,82
female,group E,some high school,standard,none,85,81,82
female,group E,some college,standard,completed,52,63,66
male,group C,some college,standard,none,64,57,52
female,group D,masters degree,free reduced,none,51,60,62
male,group D,associates degree,standard,completed,46,44,48
female,group E,associates degree,standard,none,92,100,100
male,group B,associates degree,standard,none,73,79,66
male,group D,bachelors degree,free reduced,none,80,86,83
female,group B,bachelors degree,free reduced,completed,59,65,74
female,group B,some high school,standard,none,69,82,74
female,group A,high school,standard,none,82,80,83
male,group D,masters degree,standard,none,54,55,53
female,group B,associates degree,standard,completed,56,63,66
female,group C,associates degree,standard,none,63,59,62
male,group C,bachelors degree,free reduced,none,68,64,58
female,group B,high school,standard,completed,88,100,100
male,group C,masters degree,free reduced,none,69,71,72
female,group D,some college,free reduced,completed,87,93,94
male,group D,some high school,free reduced,none,56,53,54
male,group B,some high school,free reduced,none,60,46,40
female,group A,some college,standard,none,63,74,71
male,group C,some high school,free reduced,none,51,52,44
female,group D,associates degree,free reduced,none,59,72,69
male,group E,some college,free reduced,none,72,78,70
female,group E,some high school,free reduced,none,61,59,63
female,group D,high school,free reduced,none,47,61,57
female,group E,associates degree,standard,completed,72,74,78
male,group C,some high school,standard,none,68,69,62
male,group E,some college,free reduced,none,71,66,69
male,group C,some college,free reduced,none,55,53,48
female,group B,high school,standard,none,35,54,45
female,group C,high school,free reduced,completed,57,79,79
female,group A,high school,standard,none,54,69,65
male,group E,masters degree,standard,completed,74,58,60
female,group E,some high school,standard,none,49,51,50
female,group D,some high school,standard,completed,72,82,86
female,group C,some college,standard,none,87,96,92
female,group C,some high school,standard,completed,71,74,77
male,group D,some college,standard,none,82,81,83
male,group C,high school,free reduced,none,34,26,27
male,group C,bachelors degree,standard,none,67,76,72
male,group C,some high school,free reduced,none,45,48,44
female,group C,high school,standard,none,84,83,87
male,group C,bachelors degree,standard,completed,96,98,95
male,group A,some college,standard,none,63,66,59
male,group D,high school,standard,completed,94,89,89
male,group B,associates degree,standard,none,87,61,70
female,group D,bachelors degree,standard,completed,68,79,73
male,group C,associates degree,standard,none,77,69,70
male,group D,high school,free reduced,none,49,49,49
male,group B,some college,standard,none,85,74,66
female,group C,high school,standard,none,57,51,51
male,group B,some college,standard,completed,91,81,81
male,group C,some high school,standard,none,80,80,73
male,group A,bachelors degree,standard,none,65,60,62
female,group B,high school,standard,completed,79,86,86
female,group E,high school,free reduced,none,69,75,72
female,group B,masters degree,standard,completed,81,92,96
male,group B,associates degree,standard,completed,65,61,63
male,group C,high school,standard,none,71,74,62
male,group C,some college,standard,none,48,43,34
male,group B,high school,free reduced,none,38,36,36
female,group D,associates degree,free reduced,completed,50,70,67
female,group B,high school,standard,none,59,68,65
female,group B,associates degree,free reduced,completed,52,66,65
female,group C,associates degree,standard,none,73,80,86
male,group B,some college,free reduced,none,68,71,64
male,group A,associates degree,standard,completed,53,56,56
female,group D,some high school,standard,completed,76,87,88
male,group C,some college,standard,none,61,52,49
female,group D,associates degree,standard,completed,90,95,95
female,group C,some high school,standard,none,86,93,87
female,group C,associates degree,standard,completed,57,73,76
female,group D,some high school,standard,none,66,78,82
female,group C,bachelors degree,standard,none,61,62,63
male,group B,some college,standard,none,71,62,61
male,group C,some college,standard,none,64,61,56
male,group C,associates degree,free reduced,none,56,59,54
female,group E,bachelors degree,standard,none,90,91,94
female,group D,associates degree,standard,none,68,83,79
male,group D,high school,standard,none,59,62,55
female,group C,some college,free reduced,none,39,60,60
female,group D,associates degree,free reduced,none,55,65,61
male,group D,bachelors degree,standard,completed,92,87,89
female,group D,associates degree,standard,none,61,72,66
female,group D,high school,standard,completed,89,83,98
female,group B,bachelors degree,standard,none,64,72,74
male,group A,high school,standard,completed,82,75,77
male,group D,bachelors degree,standard,completed,71,72,72
female,group B,high school,free reduced,none,44,55,53
female,group E,bachelors degree,standard,completed,87,91,95
male,group B,high school,standard,none,66,59,56
female,group E,some high school,free reduced,none,51,61,56
male,group C,some college,standard,none,75,76,68
female,group D,some college,free reduced,completed,72,76,80
male,group C,some high school,standard,none,63,44,48
male,group C,associates degree,standard,completed,87,83,79
male,group C,some college,standard,completed,83,74,74
female,group D,some high school,standard,none,47,44,47
female,group E,high school,standard,none,68,77,77
male,group D,associates degree,standard,none,72,66,65
female,group E,bachelors degree,standard,completed,100,100,100
male,group C,bachelors degree,standard,none,70,60,61
female,group C,some high school,standard,completed,64,70,75
female,group E,high school,free reduced,none,66,70,74
female,group D,bachelors degree,free reduced,none,66,71,74
male,group A,some college,standard,none,67,64,60
male,group E,some high school,standard,none,63,52,51
male,group D,some high school,standard,none,54,53,54
male,group E,bachelors degree,standard,completed,91,86,83
female,group E,associates degree,standard,none,48,49,49
female,group D,associates degree,standard,completed,77,84,92
male,group C,bachelors degree,standard,none,81,75,71
female,group C,some high school,free reduced,none,49,60,55
female,group B,bachelors degree,standard,completed,79,91,93
male,group A,associates degree,free reduced,none,39,47,41
male,group C,associates degree,free reduced,none,44,51,44
female,group D,bachelors degree,standard,none,82,91,87
female,group C,bachelors degree,standard,none,46,55,47
female,group C,bachelors degree,standard,completed,81,88,87
male,group C,some college,standard,completed,45,50,45
male,group A,some high school,standard,completed,87,84,82
male,group E,some high school,standard,completed,86,83,81
male,group D,masters degree,standard,none,75,71,73
male,group C,masters degree,standard,completed,80,76,69
female,group A,high school,standard,none,30,49,44
female,group D,some college,free reduced,none,48,46,44
male,group E,some high school,standard,none,92,87,86
female,group D,some college,standard,none,78,87,90
female,group C,some high school,free reduced,completed,60,75,82
male,group C,associates degree,standard,none,69,58,57
male,group E,masters degree,standard,completed,89,89,90
female,group E,some college,standard,none,77,98,96
male,group E,high school,standard,completed,66,63,61
female,group D,some college,standard,none,49,56,55
male,group D,associates degree,standard,completed,83,74,84
female,group C,some college,standard,none,70,65,71
male,group B,some high school,standard,none,47,46,49
female,group B,some college,standard,none,73,77,77
female,group D,some college,standard,none,87,100,100
female,group B,some college,free reduced,completed,57,71,61
male,group C,bachelors degree,standard,completed,81,72,77
male,group D,high school,free reduced,none,47,45,37
male,group C,associates degree,standard,none,91,80,85
male,group D,some college,standard,none,78,70,66
female,group C,some college,standard,completed,49,53,60
female,group D,some high school,standard,completed,75,83,94
female,group D,some college,standard,none,63,63,62
female,group B,associates degree,standard,completed,55,68,66
female,group B,high school,free reduced,none,42,59,50
female,group B,some high school,standard,none,45,39,44
female,group D,some college,standard,completed,90,98,100
female,group C,associates degree,standard,none,78,84,81
male,group C,some high school,free reduced,completed,56,48,48
female,group C,some high school,standard,completed,54,66,68
female,group C,associates degree,free reduced,none,59,62,60
male,group B,some high school,standard,completed,58,61,66
female,group D,associates degree,free reduced,none,24,32,35
female,group E,bachelors degree,free reduced,none,62,72,70
female,group A,bachelors degree,free reduced,none,50,71,67
male,group C,bachelors degree,standard,none,77,75,71
female,group E,high school,standard,none,79,83,82
male,group C,high school,standard,completed,65,62,58
male,group D,some college,standard,none,67,62,68
female,group C,associates degree,standard,none,65,74,68
female,group D,high school,standard,none,51,67,63
female,group C,some college,free reduced,none,71,85,84
male,group C,some high school,standard,completed,60,45,49
female,group C,bachelors degree,standard,none,72,75,70
male,group E,some college,standard,none,65,62,58
female,group C,some high school,standard,none,54,62,60
female,group B,bachelors degree,standard,completed,74,87,95
male,group D,associates degree,free reduced,completed,68,67,69
female,group C,high school,free reduced,completed,44,59,57
female,group C,high school,standard,completed,68,84,90
female,group E,masters degree,standard,none,77,75,73
male,group D,masters degree,standard,none,85,77,79
female,group A,bachelors degree,free reduced,none,71,79,76
male,group A,high school,standard,none,65,61,52
female,group E,associates degree,standard,completed,72,82,77
male,group C,some college,standard,completed,76,77,72
female,group C,masters degree,standard,completed,77,79,75
male,group D,some college,free reduced,completed,73,82,76
male,group C,high school,free reduced,none,57,55,50
male,group C,some high school,standard,completed,74,71,73
female,group C,high school,free reduced,none,46,49,58
female,group C,associates degree,standard,completed,59,66,68
male,group D,associates degree,standard,none,79,88,89
female,group D,bachelors degree,standard,none,77,79,79
female,group A,some college,standard,completed,73,86,90
male,group A,masters degree,free reduced,completed,69,74,74
female,group C,some college,standard,none,79,93,91
female,group C,masters degree,free reduced,none,58,70,68
female,group C,high school,standard,completed,65,73,78
male,group B,some high school,free reduced,completed,42,39,39
female,group D,some college,free reduced,none,31,54,57
male,group A,some college,free reduced,none,79,80,71
female,group E,some high school,free reduced,completed,25,32,33
male,group D,associates degree,free reduced,completed,40,49,53
male,group C,associates degree,standard,none,79,80,73
male,group D,bachelors degree,standard,none,76,76,69
female,group C,associates degree,standard,completed,99,95,100
female,group C,high school,standard,none,54,66,59
male,group C,bachelors degree,standard,completed,79,79,80
male,group C,some college,standard,completed,74,57,66
male,group A,some college,standard,completed,68,70,61
male,group D,some high school,standard,completed,97,93,94
female,group D,some high school,standard,completed,82,97,97
male,group B,associates degree,standard,none,76,70,73
male,group D,some college,free reduced,none,71,67,66
male,group B,some high school,standard,completed,57,63,56
male,group A,some college,free reduced,completed,59,48,58
male,group B,some college,standard,none,50,55,49
female,group B,associates degree,standard,none,71,86,81
male,group C,some college,standard,none,59,51,48
male,group C,associates degree,standard,none,77,64,66
male,group E,high school,standard,none,78,53,55
female,group D,some college,standard,completed,86,100,100
female,group B,some college,standard,completed,64,81,82
male,group E,masters degree,standard,none,79,59,54
male,group E,some college,standard,completed,85,80,75
female,group C,some college,free reduced,completed,41,47,54
female,group B,associates degree,standard,completed,84,95,94
male,group C,associates degree,free reduced,none,55,50,45
female,group E,high school,standard,none,85,92,88
male,group B,some college,standard,completed,91,83,85
male,group C,high school,standard,none,62,54,55
female,group C,some college,free reduced,none,74,86,78
female,group C,some high school,standard,none,44,59,55
male,group E,some high school,standard,completed,93,86,80
female,group C,high school,standard,none,59,53,63
male,group D,associates degree,free reduced,completed,65,61,58
male,group D,masters degree,free reduced,none,66,73,69
male,group E,some high school,free reduced,none,90,81,76
male,group B,some college,standard,none,76,71,65
female,group B,associates degree,free reduced,none,76,87,81
female,group A,high school,standard,completed,63,80,72
male,group B,masters degree,free reduced,none,66,71,66
male,group C,associates degree,free reduced,none,38,29,26
male,group D,associates degree,free reduced,completed,59,65,63
male,group B,associates degree,standard,completed,100,100,94
female,group D,some high school,free reduced,completed,54,74,70
female,group B,some high school,standard,none,56,61,62
female,group B,associates degree,standard,none,72,78,77
male,group A,bachelors degree,free reduced,none,77,64,58
male,group D,some college,standard,none,86,82,78
male,group C,masters degree,standard,none,80,83,80
female,group E,associates degree,free reduced,completed,66,74,73
female,group C,some college,standard,completed,46,59,60
female,group E,bachelors degree,free reduced,completed,63,74,74
male,group C,high school,standard,completed,79,67,68
female,group A,some high school,standard,completed,58,60,61
female,group C,associates degree,free reduced,completed,59,82,84
female,group E,high school,standard,none,64,64,64
female,group B,some high school,standard,none,67,77,77
male,group B,some high school,standard,completed,75,60,60
male,group B,some college,free reduced,none,69,69,69
male,group A,masters degree,standard,none,75,65,66
male,group E,high school,free reduced,none,69,55,55
male,group B,bachelors degree,standard,none,70,59,63
female,group E,associates degree,free reduced,none,42,55,47
female,group C,associates degree,standard,none,57,70,62
female,group C,some high school,standard,none,59,65,67
female,group B,some high school,standard,completed,62,70,73
male,group C,some college,free reduced,none,52,58,50
male,group E,some high school,free reduced,none,21,17,16
female,group B,high school,standard,none,56,64,62
female,group B,associates degree,standard,none,80,87,90
female,group C,associates degree,free reduced,none,36,57,50
male,group D,some college,free reduced,none,44,52,50
female,group D,high school,standard,none,63,70,74
female,group D,some high school,standard,completed,80,91,88
male,group C,some high school,standard,completed,40,39,41
male,group C,high school,free reduced,completed,64,68,67
female,group C,some college,free reduced,none,30,49,50
male,group C,associates degree,free reduced,none,41,29,27
female,group E,high school,standard,completed,76,83,85
male,group C,high school,standard,completed,88,80,83
female,group C,some high school,standard,completed,37,55,53
female,group A,associates degree,free reduced,completed,52,83,83
male,group C,associates degree,free reduced,completed,91,86,80
male,group D,high school,standard,none,55,64,55
male,group A,some high school,standard,none,69,71,68
male,group B,some college,standard,completed,68,72,68
female,group D,some college,standard,none,53,52,66
female,group D,some high school,standard,none,72,69,76
female,group C,some high school,free reduced,none,63,73,73
female,group E,bachelors degree,free reduced,completed,84,84,82
female,group B,masters degree,free reduced,none,63,74,68
male,group C,associates degree,standard,completed,73,84,80
male,group A,associates degree,standard,none,69,65,65
female,group E,some college,standard,none,84,89,89
female,group B,some college,standard,none,77,77,77
female,group E,high school,standard,none,51,41,48
female,group C,some college,free reduced,completed,28,39,44
male,group D,bachelors degree,standard,none,70,72,66
male,group A,some high school,standard,none,76,71,66
male,group D,some high school,free reduced,none,64,65,55
male,group C,masters degree,free reduced,completed,53,52,46
female,group C,some college,standard,none,68,64,65
male,group D,masters degree,standard,none,73,71,65
female,group E,associates degree,standard,none,76,83,72
female,group D,bachelors degree,free reduced,none,40,52,56
female,group E,some college,standard,none,88,78,84
female,group B,some college,standard,completed,75,85,82
female,group E,some college,free reduced,none,51,65,63
female,group C,some college,standard,none,63,69,65
male,group C,some college,standard,none,72,66,62
male,group B,some college,free reduced,completed,63,60,66
female,group B,some college,standard,completed,88,95,96
female,group A,some college,free reduced,completed,81,92,97
male,group D,high school,standard,completed,87,85,83
male,group D,associates degree,free reduced,completed,76,82,83
female,group B,some high school,free reduced,completed,50,66,70
male,group B,high school,standard,none,69,58,58
male,group C,associates degree,free reduced,none,44,53,46
male,group D,bachelors degree,standard,none,39,41,36
female,group B,bachelors degree,free reduced,none,40,44,50
female,group E,associates degree,standard,none,64,67,63
female,group C,associates degree,free reduced,completed,50,70,70
female,group C,associates degree,standard,completed,87,100,100
female,group B,some high school,standard,completed,66,70,67
female,group B,some high school,standard,none,48,48,48
male,group C,some college,standard,completed,75,77,73
female,group C,high school,free reduced,none,41,56,49
female,group C,some college,standard,completed,62,63,71
male,group B,associates degree,standard,completed,82,82,81
female,group B,high school,standard,completed,49,69,62
male,group D,some high school,standard,completed,89,82,82
female,group C,associates degree,free reduced,none,69,79,72
female,group C,high school,free reduced,completed,61,65,68
male,group C,associates degree,standard,none,58,56,47
male,group C,some college,free reduced,none,46,38,38
male,group E,associates degree,free reduced,none,69,60,57
male,group C,some high school,standard,none,93,78,67
male,group E,some high school,free reduced,none,53,54,46
female,group D,some college,standard,none,76,75,76
male,group C,some college,standard,none,70,66,64
female,group B,some high school,free reduced,completed,48,68,63
male,group D,high school,free reduced,none,51,43,37
female,group E,some college,standard,none,53,66,58
male,group D,high school,standard,none,84,91,86
female,group C,some high school,standard,none,40,51,46
female,group C,some college,free reduced,completed,74,89,96
male,group C,some high school,free reduced,completed,55,65,64
female,group E,associates degree,standard,completed,78,89,94
female,group D,bachelors degree,free reduced,completed,73,86,89
male,group C,some college,free reduced,completed,40,38,36
male,group D,some college,free reduced,none,64,69,69
male,group E,high school,standard,none,77,59,59
female,group C,some college,standard,completed,71,78,76
male,group C,bachelors degree,standard,none,90,87,83
female,group B,associates degree,free reduced,completed,71,76,75
female,group E,high school,standard,none,80,81,78
male,group C,high school,free reduced,completed,48,43,46
male,group B,high school,standard,completed,83,75,75
female,group C,associates degree,standard,none,80,89,87
male,group C,some college,standard,none,69,71,68
male,group E,some college,standard,none,76,59,58
female,group D,associates degree,standard,completed,72,80,89
female,group A,associates degree,standard,completed,52,61,64
female,group D,some college,free reduced,none,56,81,68
female,group A,high school,standard,none,69,77,74
female,group C,associates degree,free reduced,completed,31,51,53
female,group B,some college,free reduced,completed,46,69,69
male,group A,some college,standard,none,72,72,68
male,group D,associates degree,standard,none,93,93,92
female,group C,associates degree,free reduced,none,50,76,68
female,group C,bachelors degree,standard,none,83,76,78
male,group C,high school,free reduced,completed,77,79,79
female,group B,some high school,standard,none,35,41,38
female,group E,some high school,free reduced,none,58,55,49
male,group A,high school,standard,none,61,58,58
female,group E,bachelors degree,standard,completed,96,100,100
male,group C,some high school,free reduced,none,50,56,53
female,group C,some college,free reduced,completed,76,82,88
male,group B,some high school,standard,completed,50,57,55
female,group C,associates degree,standard,none,61,77,74
male,group C,associates degree,free reduced,completed,67,63,60
female,group C,high school,standard,none,75,76,71
male,group D,high school,standard,none,99,92,82
male,group D,associates degree,standard,none,67,54,60
female,group B,high school,standard,completed,47,59,60
male,group C,bachelors degree,standard,none,59,63,55
female,group A,some high school,standard,none,67,76,70
female,group C,bachelors degree,standard,none,92,99,97
female,group D,some college,standard,none,70,71,77
male,group C,some college,standard,none,82,79,70
female,group C,some college,standard,completed,94,97,100
female,group E,masters degree,standard,none,68,80,86
male,group E,some high school,free reduced,completed,92,75,78
female,group B,associates degree,standard,none,50,62,59
female,group A,some high school,free reduced,none,63,85,84
female,group C,some college,standard,none,74,81,81
male,group E,high school,standard,none,87,75,74
male,group C,some college,free reduced,none,78,67,67
female,group C,associates degree,standard,none,84,85,86
female,group B,masters degree,free reduced,completed,58,81,82
male,group D,some college,free reduced,none,67,70,65
female,group D,some college,standard,completed,91,95,99
male,group A,some high school,standard,completed,61,57,58
male,group D,some college,standard,none,57,42,46
female,group E,some high school,standard,none,56,60,58
male,group B,some college,free reduced,none,47,54,45
female,group D,associates degree,standard,none,84,92,96
male,group C,some college,standard,completed,55,57,55
male,group D,bachelors degree,free reduced,completed,61,68,67
male,group C,high school,free reduced,completed,68,65,65
male,group B,high school,free reduced,completed,54,60,64
male,group E,associates degree,standard,none,81,76,70
male,group B,associates degree,free reduced,none,63,46,53
female,group E,high school,free reduced,completed,85,99,95
male,group D,some high school,standard,none,73,69,72
male,group A,some college,free reduced,none,69,65,61
male,group D,some college,standard,completed,81,86,90
female,group C,associates degree,free reduced,none,46,67,63
male,group D,some high school,standard,completed,62,59,60
male,group D,some college,standard,completed,70,69,74
male,group D,some college,standard,none,66,59,61
male,group B,some high school,standard,completed,62,56,56
male,group C,high school,standard,none,49,47,45
female,group C,bachelors degree,free reduced,none,46,67,64
male,group C,some high school,free reduced,completed,75,69,63
male,group B,some high school,free reduced,completed,77,79,84
female,group C,some high school,standard,none,48,59,56
male,group B,associates degree,standard,none,76,80,77
male,group E,bachelors degree,free reduced,completed,71,65,66
female,group D,some high school,standard,completed,42,63,63
male,group E,high school,standard,none,51,46,37
female,group E,some high school,free reduced,none,69,70,66
female,group A,some high school,standard,none,55,66,61
female,group D,some high school,free reduced,none,61,70,71
female,group D,some high school,free reduced,none,58,63,66
female,group C,masters degree,free reduced,completed,74,83,90
female,group C,some college,standard,completed,65,67,72
male,group D,some college,free reduced,completed,52,44,51
female,group E,some college,standard,none,97,96,94
female,group B,high school,standard,none,76,81,82
female,group C,high school,free reduced,none,40,55,52
female,group D,some high school,standard,none,52,60,63
female,group D,some high school,standard,none,73,83,88
female,group D,some high school,free reduced,completed,65,73,76
female,group C,associates degree,standard,none,81,95,88
male,group E,high school,free reduced,none,69,69,57
female,group C,associates degree,standard,completed,65,81,83
male,group C,high school,standard,none,54,51,44
male,group C,high school,standard,none,70,59,62
male,group E,some college,standard,completed,89,76,80
female,group D,some high school,free reduced,none,54,60,64
male,group B,high school,standard,none,67,61,49
female,group C,some college,standard,none,77,87,85
female,group C,some high school,standard,completed,75,89,84
male,group D,associates degree,standard,none,52,51,51
female,group C,bachelors degree,free reduced,completed,56,70,70
female,group B,bachelors degree,free reduced,none,54,63,71
female,group C,some high school,standard,none,77,86,88
female,group C,associates degree,standard,completed,80,85,88
female,group B,associates degree,free reduced,none,64,71,57
male,group E,associates degree,free reduced,completed,73,71,69
female,group B,high school,free reduced,none,38,46,39
male,group E,associates degree,standard,completed,80,69,73
male,group E,some college,standard,none,99,94,82
female,group C,high school,standard,completed,46,49,51
female,group D,associates degree,free reduced,none,74,88,85
female,group C,some college,free reduced,none,54,70,64
male,group E,high school,standard,completed,100,90,87
male,group C,associates degree,standard,none,73,70,67
female,group B,masters degree,standard,completed,89,100,100
female,group C,some high school,standard,completed,75,93,89
male,group B,some college,standard,none,85,91,81
female,group D,bachelors degree,standard,none,67,81,82
female,group B,some high school,free reduced,none,46,56,56
male,group E,some high school,free reduced,none,67,75,66
female,group B,high school,standard,none,44,57,52
female,group C,some college,standard,completed,93,100,100
female,group B,some college,standard,none,74,81,82
male,group D,associates degree,free reduced,completed,42,46,48
female,group D,bachelors degree,standard,completed,69,84,84
male,group D,some high school,free reduced,completed,87,91,91
male,group E,some high school,standard,none,88,69,66
female,group E,bachelors degree,standard,completed,70,68,63
female,group A,associates degree,standard,completed,71,72,77
female,group E,bachelors degree,standard,none,68,78,75
female,group C,some college,standard,none,65,71,74
female,group A,masters degree,free reduced,completed,56,70,75
female,group E,some high school,standard,completed,50,61,62
male,group B,some high school,free reduced,completed,58,52,53
male,group C,masters degree,standard,completed,100,96,100
male,group B,high school,free reduced,none,63,59,55
